Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
16279,1/2/2020,North Shore Medical Center,Electronic,Yes,1,Yes,,,,Yes,,
16280,1/2/2020,Savers Bank,Electronic,,1,,,,Yes,,,
16281,1/2/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16282,1/2/2020,Main Street Bank,Electronic,,1,,,,Yes,,,
16283,1/2/2020,Main Street Bank,Electronic,,1,,,,Yes,,,
16287,1/2/2020,Rockland Trust Company,Electronic,Yes,1,,Yes,,,,,
16288,1/2/2020,"American Express Travel Related Services Company, Inc",Electronic,,16,,,,Yes,,,
16289,1/2/2020,Plancorp LLC,Electronic,Yes,2,Yes,Yes,,,Yes,,
16290,1/2/2020,"American Express Travel Related Services Company, Inc.",Electronic,,2,,,,Yes,,,
16291,1/2/2020,"Robbins Brothers Jewelry, Inc.",Electronic,Yes,1,,,Yes,,Yes,,
16292,1/2/2020,"American Express Travel Related Services Company, Inc",Electronic,,4,,,,Yes,,,
16293,1/2/2020,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
16294,1/2/2020,Rockland Trust company,Paper,,1,,Yes,,,Yes,,
16295,1/2/2020,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
16297,1/3/2020,City of Holyoke Gas & Electric Department,Electronic,,2500,,,,Yes,Yes,,
16298,1/3/2020,"Vivo Capital, LLC",Electronic,Yes,1,Yes,,,,Yes,,
16299,1/3/2020,"States Logistics Services, Inc.",Electronic,Yes,1,,Yes,,,Yes,,
16300,1/3/2020,Energy One Federal Credit Union,Electronic,Yes,1,,Yes,,,,,
16261,1/3/2020,Pacific Life Insurance Company,Electronic,,2,Yes,,,,Yes,,
18479,1/4/2020,Greater Atlanta Christian School,Electronic,,1,Yes,,,,Yes,,
18482,1/4/2020,"Florida Gulf Coast University Foundation, Inc.",Electronic,,77,,Yes,,,Yes,,
18474,1/5/2020,Somerset Berkley Regional High School,Electronic,Yes,85,Yes,,Yes,Yes,Yes,,
16260,1/5/2020,"HelloTech, Inc.",Electronic,Yes,103,,,Yes,,Yes,,
16309,1/6/2020,"Sharma Wasson & Associates, Inc",,Yes,1,Yes,,,,Yes,,
16310,1/6/2020,Discover Financial Services,Paper,,2,Yes,Yes,,,Yes,,
16301,1/6/2020,Main Street Bank,Electronic,,1,,,,Yes,,,
16302,1/6/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16303,1/6/2020,Bank of America,Paper,Yes,1,Yes,Yes,,,Yes,,
16304,1/6/2020,AmeriSave Mortgage Corporation,Electronic,,101,Yes,,,,Yes,,
16305,1/6/2020,National Electrical Contractors Association,Electronic,Yes,2,Yes,,,Yes,Yes,,
16306,1/6/2020,"American Express Travel Related Services Company, Inc.",Electronic,,242,,,,Yes,,,
16296,1/6/2020,St. Mary's Credit Union,Electronic,,119,,Yes,,Yes,,,
18468,1/6/2020,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
18545,1/7/2020,Georgetown Day School,Electronic,,5,Yes,,,,Yes,,
16307,1/7/2020,Owens Community College,Electronic,Yes,1,Yes,,,,Yes,,
16308,1/7/2020,Brigham and Women's Hospital,Electronic,Yes,1,Yes,,,,Yes,,
16311,1/7/2020,Tabor Dental Associates,Electronic,Yes,1,Yes,Yes,Yes,Yes,Yes,,
16313,1/7/2020,ExamOne (a Quest Diagnostics company),Paper,Yes,1,Yes,,Yes,,Yes,,
16314,1/7/2020,Watertown Savings Bank,Electronic,,9,,,,Yes,,,
16315,1/8/2020,"Charles Schwab & Co., Inc.",Paper,,1,,Yes,,,,,
16316,1/8/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16312,1/8/2020,"American Express Travel Related Services Company, Inc.",Electronic,,270,,,,Yes,,,
16320,1/8/2020,HRB Tax Group Inc.,Paper,Yes,5,Yes,,,,Yes,,
16321,1/8/2020,"American Express Travel Related Services Company, Inc",Electronic,,341,,,,Yes,,,
16323,1/8/2020,Savers Bank,Electronic,,2,,,,Yes,,,
16327,1/8/2020,The Cooperative Bank of Cape Cod,Electronic,,550,,,,Yes,,,
16328,1/9/2020,National Holdings Corporation,Electronic,Yes,72,Yes,Yes,Yes,,Yes,,
16324,1/9/2020,Eastern Bank,Electronic,,158,,,,Yes,,,
16325,1/9/2020,American Outdoor Brands Corporation,Electronic,Yes,20,,Yes,,,Yes,,
16326,1/9/2020,The Village Bank,Electronic,,1,,,,Yes,,,
16322,1/9/2020,"SharesPost, Inc.",Electronic,Yes,100,Yes,Yes,,,Yes,,
16317,1/9/2020,Salem Five Cents Savings Bank,Electronic,,1,,,,Yes,,,
16318,1/9/2020,Salem Five Cents Savings Bank,Electronic,,6,,,,Yes,,,
16319,1/9/2020,The Village Bank,Electronic,,3,,,,Yes,,,
16329,1/10/2020,"American Express Travel Related Services Company, Inc. and /or its Affiliates (""AXP"")",Electronic,,5,,,,Yes,,,
16330,1/10/2020,The Village Bank,Electronic,,1,,,,Yes,,,
16331,1/10/2020,"Gatsby Enterprises, Inc.",Electronic,Yes,10,Yes,,,,,,
16332,1/10/2020,The City of Dothan,Electronic,,2,,,,Yes,Yes,,
16333,1/10/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16334,1/10/2020,The City of Port Orange,Electronic,,9,,,,Yes,Yes,,
16335,1/10/2020,"Health Quest Systems, Inc.",Electronic,Yes,138,Yes,Yes,Yes,Yes,Yes,,
16336,1/10/2020,PIH Health,Electronic,Yes,12,,,Yes,,,,
16337,1/13/2020,"Swift Financial, LLC",Electronic,Yes,1,,Yes,,,Yes,,
16338,1/13/2020,Winged Keel Group,Electronic,Yes,6,Yes,,Yes,,Yes,,
16339,1/14/2020,Decron Properties Corporation,Electronic,Yes,9,Yes,Yes,Yes,,Yes,,
16340,1/14/2020,City of Bend,Electronic,,2,,,,Yes,Yes,,
16341,1/15/2020,Salem Five Cents Savings Bank,Electronic,,3,,,,Yes,,,
16342,1/15/2020,"Psy Therapeutics, Inc.",Paper,,1,Yes,,,,Yes,,
16343,1/15/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16344,1/15/2020,Savers Bank,Electronic,,1,,,,Yes,,,
16345,1/15/2020,"Legalinc Corporate Services, Inc.",Electronic,Yes,23,Yes,,,,Yes,,
16346,1/15/2020,"AgencyONE, LLC",Electronic,Yes,128,Yes,Yes,Yes,,Yes,,
16347,1/16/2020,Eagle Bank,Electronic,,1,,,,Yes,,,
16348,1/16/2020,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
16349,1/16/2020,Massachusetts General Hospital,Electronic,Yes,1,,,,,,,
16350,1/16/2020,The National Association of Manufacturers,Electronic,Yes,4,Yes,Yes,,Yes,Yes,,
16351,1/16/2020,"Kayne Anderson Capital Advisors, L.P.",Electronic,Yes,4,Yes,,,,Yes,,
16352,1/16/2020,Northerner Scandinavia AB,Electronic,Yes,42,,,,Yes,,,
16353,1/17/2020,THE VILLAGE BANK,Electronic,,26,,,,Yes,,,
16354,1/17/2020,Eagle Bank,Electronic,,9,,,,Yes,,,
16355,1/17/2020,"American Express Travel Related Services Company, Inc. and /or its Affiliates (""AXP"")",Electronic,,36,,,,Yes,,,
16356,1/17/2020,"American Express Travel Related Services Company, Inc. and /or its Affiliates (""AXP"")",Paper,,2,,,,Yes,,,
16357,1/17/2020,Kermit Lynch Wine Merchant,Electronic,Yes,1,,,,Yes,,,
16358,1/17/2020,St. Marys Credit Union,Electronic,,24,,,,Yes,,,
16359,1/17/2020,Main Street Bank,Electronic,,1,,,,Yes,,,
16360,1/17/2020,"J.D. England Management, Inc.",Electronic,Yes,39,,,Yes,,Yes,,
16361,1/17/2020,Mutual One Bank,Electronic,,1,,,,Yes,,,
16362,1/17/2020,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
16363,1/17/2020,Rockland Trust Co,Paper,Yes,1,,Yes,,,Yes,,
16364,1/17/2020,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
16365,1/17/2020,Honeybee Health,Electronic,Yes,22,,,,Yes,,,
16366,1/20/2020,Delta Dental of Massachusetts,Electronic,Yes,16,Yes,,,,Yes,,
16367,1/20/2020,"The UPS Store, Inc.",Electronic,Yes,115,Yes,Yes,Yes,Yes,Yes,,
16368,1/21/2020,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
16369,1/21/2020,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
