Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
24767,1/2/2022,North Broward Hospital District d/b/a Broward Health,Electronic,,3679,Yes,,,,Yes,,
24759,1/3/2022,Hand Arendall Harrison Sale LLC,Electronic,Yes,5,Yes,,,,Yes,,
24760,1/3/2022,MutualOne Bank,Electronic,,1,,,,Yes,,,
24761,1/3/2022,Ravkoo,Electronic,Yes,1517,,,,,Yes,,
24762,1/3/2022,Stevens & Lee,Electronic,Yes,1836,Yes,Yes,Yes,,Yes,,
24763,1/3/2022,SAVERS BANK,Electronic,,1,,,,Yes,,,
24764,1/3/2022,SAVERS BANK,Electronic,,8,,,,Yes,,,
24765,1/3/2022,WINCHESTER SAVINGS BANK,Electronic,,4,,,,Yes,,,
24766,1/3/2022,WINCHESTER SAVINGS BANK,Electronic,,5,,,,Yes,,,
24770,1/4/2022,Fertility Centers of Illinois,Electronic,Yes,12,Yes,,,,Yes,,
24783,1/4/2022,"Johns Eastern Company, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
24786,1/4/2022,Franklin Park Conservatory and Botanical Gardens,Electronic,Yes,12,Yes,Yes,,,,,
24787,1/4/2022,"Bob¶s Red Mill Natural Foods, Inc.",Electronic,Yes,16,Yes,,Yes,,Yes,,
24771,1/5/2022,"Florida Digestive Health Specialists, LLP",Electronic,Yes,51,Yes,Yes,,,Yes,,
24777,1/5/2022,"Smith System Driver Improvement Institute, Inc.",Electronic,Yes,11,,,,Yes,,,
24778,1/5/2022,Integrity Life Insurance Company,Electronic,Yes,1,,Yes,,,Yes,,
24779,1/5/2022,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,
24780,1/5/2022,"Marlabs, Inc.",Electronic,Yes,158,Yes,Yes,,,Yes,,
24781,1/5/2022,National Integrity Life Insurance Company,Electronic,Yes,1,,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
24782,1/5/2022,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,
28830,1/5/2022,"Bread Financial Payments, Inc.",Electronic,,6,,,,Yes,Yes,,
24775,1/6/2022,Rockland Trust,Electronic,Yes,2,,Yes,,,Yes,,
24776,1/6/2022,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,
24794,1/6/2022,Jefferson Surgical Clinic,Electronic,Yes,39,Yes,,,,Yes,,
24795,1/6/2022,"James Kagan, MD",Electronic,Yes,1,,,,,,,
24796,1/6/2022,South Shore Bank,Electronic,Yes,1,Yes,,,,Yes,,
24789,1/6/2022,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,
24790,1/6/2022,Watertown Savings Bank,Electronic,,7,,,,Yes,,,
24791,1/6/2022,"Wells Fargo Clearing Services, LLC",Electronic,,1,Yes,Yes,,,Yes,,
18553,1/6/2022,"American Express Travel Related Services Company, Inc",Electronic,,5,,,,Yes,,,
25770,1/7/2022,Bank of America,Paper,Yes,1,Yes,,,,Yes,,
24792,1/7/2022,Thornburg Investment Management,Electronic,,136,Yes,Yes,,,Yes,,
24793,1/7/2022,Charles River Apparel,Electronic,Yes,200,Yes,,,,Yes,,
24797,1/7/2022,Eastern Los Angeles Regional Center,Electronic,Yes,3,Yes,,,,Yes,,
24798,1/7/2022,Beth Israel Deaconess Medical Center,Electronic,Yes,1,Yes,,,,Yes,,
25759,1/7/2022,KIND LLC,Electronic,,11,Yes,,,,Yes,,
25760,1/7/2022,Eden Housing,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
25761,1/7/2022,"Bird, Marella, Boxer, Wolpert, Nessim, Drooks, Lincenberg & Rhow, P.C.",Electronic,Yes,1,,Yes,,,Yes,,
