Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
28815,1/3/2023,The Village Bank,Electronic,,1,,,,Yes,,,
28819,1/3/2023,Bank of America,Electronic,Yes,,Yes,Yes,Yes,,Yes,,
28820,1/3/2023,"Maple Leaf Foods, Inc.",Electronic,Yes,121,Yes,Yes,Yes,Yes,Yes,,
28824,1/3/2023,Live Oak Surgery Center,Electronic,Yes,2,Yes,,Yes,,Yes,,
28825,1/3/2023,Vision Technologies,Electronic,Yes,2,Yes,,,,Yes,,
28858,1/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,
28859,1/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,
28860,1/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,
28826,1/4/2023,Jacob¶s Ladder Neurodevelopmental School & Therapy Center,Electronic,Yes,1,,,,,Yes,,
28827,1/4/2023,"OneAmerica Financial Partners, Inc./ The State Life Insurance Company",Electronic,Yes,35,Yes,Yes,Yes,Yes,Yes,,
28828,1/5/2023,Watertown Savings Bank,Electronic,,70,,,,Yes,,,
28829,1/5/2023,"Affiliated Management, Inc",Electronic,Yes,9,Yes,,Yes,,Yes,,
28831,1/5/2023,Financial Partners Group,Electronic,Yes,4,Yes,,Yes,,Yes,,
28832,1/5/2023,Knox College,Electronic,Yes,395,Yes,,Yes,,Yes,,
28833,1/5/2023,Jarrett & Luitjens,Electronic,,4,Yes,,,,Yes,,
28842,1/6/2023,Cape Cod Five,Paper,Yes,2,,,,Yes,,,
28843,1/6/2023,Cape Cod Five,Electronic,Yes,2,,Yes,,,,,
28835,1/6/2023,Cape Cod Five,Electronic,Yes,2,,Yes,,,,,
28836,1/6/2023,WINCHESTER SAVINGS BANK,Electronic,,18,,,,Yes,,,
28837,1/6/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,
28838,1/6/2023,Fidelity Business Services Group,Electronic,Yes,1,Yes,,Yes,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
28839,1/6/2023,Universal Music Group,Electronic,,1,,Yes,,,Yes,,
28840,1/9/2023,"Integrity Financial Services Group, LLC",Electronic,Yes,3,Yes,Yes,,,Yes,,
28841,1/9/2023,Whitman-Hanson Regional School District,Electronic,Yes,1510,Yes,Yes,,,Yes,,
28844,1/9/2023,Webster Five Cents Savings Bank,Electronic,,4,,,,Yes,,,
28845,1/9/2023,Lee Kennedy Company,Electronic,Yes,1422,Yes,Yes,,,Yes,,
28846,1/9/2023,"Meriplex Communications, LTD.",Electronic,Yes,5,Yes,,,,Yes,,
28861,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,
28862,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,
28863,1/9/2023,Mutual Once Bank,Electronic,,1,,,,Yes,,,
28864,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,
28865,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,
28866,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,
